GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
iceberg,com.iceberg.externalapi.impl,ImageStorageServiceImpl,14,97,0,0,4,37,0,5,0,5
iceberg,com.iceberg.externalapi.impl,ProcessingForRequestImpl,80,3,0,0,16,1,2,1,2,1
iceberg,com.iceberg.externalapi.impl,PayPalServiceImpl,305,3,0,0,53,1,9,1,9,1
iceberg,com.iceberg.externalapi.impl,ProcessingImpl,100,12,0,0,22,4,2,1,2,1
iceberg,com.iceberg.service.impl,ReiRequestServiceImpl,14,67,2,2,6,18,2,8,0,8
iceberg,com.iceberg.service.impl,PrivilegeServiceImpl,0,18,0,0,0,4,0,4,0,4
iceberg,com.iceberg.service.impl,UserInfoServiceImpl,31,96,4,4,8,22,3,14,0,13
iceberg,com.iceberg.configs,LoggerInterceptor,0,185,5,11,0,36,5,8,0,5
iceberg,com.iceberg.configs,SessionInterceptor,18,90,6,20,7,20,6,10,0,3
iceberg,com.iceberg.configs,SessionConfiguration,0,31,0,0,0,5,0,3,0,3
iceberg,com.iceberg.configs,CorsConfig,0,32,0,0,0,9,0,3,0,3
iceberg,com.iceberg.entity,UserInfo,1,166,1,1,1,48,1,27,0,27
iceberg,com.iceberg.entity,Privilege,0,52,0,0,0,23,0,15,0,15
iceberg,com.iceberg.entity,ReimbursementRequest.Status,0,92,0,2,0,11,0,5,0,4
iceberg,com.iceberg.entity,ReimbursementRequest,29,161,7,3,13,61,8,40,3,40
iceberg,com.iceberg.entity,InvoiceDetail,10,31,0,0,2,13,1,9,1,9
iceberg,com.iceberg.entity,Group,24,0,0,0,10,0,7,0,7,0
iceberg,com.iceberg.entity,Role,0,17,0,0,0,7,0,5,0,5
iceberg,com.iceberg.entity,ReimbursementRequest.Remark,9,116,0,2,2,9,2,3,2,2
iceberg,com.iceberg.utils,MailUtils.new Authenticator() {...},0,9,0,0,0,2,0,2,0,2
iceberg,com.iceberg.utils,Result,0,38,0,0,0,16,0,11,0,11
iceberg,com.iceberg.utils,HttpClientUtils,17,102,3,5,5,27,4,3,1,2
iceberg,com.iceberg.utils,PageModel,24,77,3,3,10,15,7,7,4,7
iceberg,com.iceberg.utils,ResultUtil,3,96,0,0,1,32,1,7,1,7
iceberg,com.iceberg.utils,Utils,3,29,1,1,1,6,2,2,1,2
iceberg,com.iceberg.utils,MailUtils,6,70,0,0,3,19,1,1,1,1
iceberg,com.iceberg.utils,Config,3,5,0,0,1,1,1,1,1,1
iceberg,com.iceberg,IcebergApplication,14,3,0,0,3,1,2,1,2,1
iceberg,com.iceberg.externalapi,ImageStorageService,12,53,2,2,7,18,2,2,0,2
iceberg,com.iceberg.externalapi,PayPalClient,3,17,0,0,1,3,1,1,1,1
iceberg,com.iceberg.controller,OAuthController,153,94,7,3,33,22,7,3,2,3
iceberg,com.iceberg.controller,ReiRequestController,274,620,56,44,83,143,49,18,2,14
iceberg,com.iceberg.controller,UserInfoController,34,306,5,25,16,81,5,27,0,17
